Rank,Ime,Klub,Sport,Vrednost_pogodbe
1,Giancarlo Stanton,Miami Marlins,Baseball,325000000
2,Alex Rodriguez,New York Yankees,Baseball,275000000
3,Neymar,Paris Saint Germain,Association football,270000000
4,Alex Rodriguez,Texas Rangers,Baseball,252000000
5,Miguel Cabrera,Detroit Tigers,Baseball,248000000
6,Robinson Cano,Seattle Mariners,Baseball,240000000
6,Albert Pujols,Los Angeles Angels,Baseball,240000000
7,James Harden,Houston Rockets,Basketball,228000000
8,Joey Votto,Cincinnati Reds,Baseball,225000000
8,David Price,Boston Red Sox,Baseball,217000000
9,Clayton Kershaw,Los Angeles Dodgers,Baseball,215000000
10,Prince Fielder,Detroit Tigers,Baseball,214000000
11,Max Scherzer,Washington Nationals,Baseball,210000000
12,Zack Greinke,Arizona Diamondbacks,Baseball,206500000
14,Russell Westbrook,Oklahoma City Thunder,Basketball,205000000
15,Stephen Curry,Golden State Warriors,Basketball,201200000
16,Derek Jeter,New York Yankees,Baseball,189000000
17,Joe Mauer,Minnesota Twins,Baseball,184000000
17,Jason Heyward,Chicago Cubs,Baseball,184000000
18,Floyd Mayweather,Showtime,Boxing,180000000
18,Mark Teixeira,New York Yankees,Baseball,180000000
18,Justin Verlander,Detroit Tigers,Baseball,180000000
19,Félix Hernández,Seattle Mariners,Baseball,175000000
20,Stephen Strasburg,Washington Nationals,Baseball,175000000
22,Blake Griffin,Los Angeles Clippers,Basketball,172260000
23,Buster Posey,San Francisco Giants,Baseball,167000000
24,CC Sabathia,New York Yankees,Baseball,161000000
24,Chris Davis,Baltimore Orioles,Baseball,161000000
26,Matt Kemp,Los Angeles Dodgers,Baseball,160000000
26,Manny Ramírez,Boston Red Sox,Baseball,160000000
28,Troy Tulowitzki,Colorado Rockies,Baseball,157750000
29,Masahiro Tanaka,New York Yankees,Baseball,155000000
29,Jon Lester,Chicago Cubs,Baseball,155000000
31,Adrián González,Boston Red Sox,Baseball,154000000
32,Kimi Räikkönen,Ferrari,Auto racing,153000000
32,Jacoby Ellsbury,New York Yankees,Baseball,153000000
34,Mike Conley Jr.,Memphis Grizzlies,Basketball,152605576
35,Miguel Cabrera,Detroit Tigers,Baseball,152300000
36,Todd Helton,Colorado Rockies,Baseball,151500000
37,Zack Greinke,Los Angeles Dodgers,Baseball,147000000
38,Gareth Bale,Real Madrid C.F.,Association football,146280000
39,Mike Trout,Los Angeles Angels,Baseball,144500000
40,Cole Hamels,Philadelphia Phillies,Baseball,144000000
41,Carl Crawford,Boston Red Sox,Baseball,142000000
42,Damian Lillard,Portland Trail Blazers,Basketball,139888445
43,Andrew Luck,Indianapolis Colts,American football,139125000
44,DeMar DeRozan,Toronto Raptors,Basketball,139000000
45,David Wright,New York Mets,Baseball,138000000
46,Johan Santana,New York Mets,Baseball,137500000
47,Kobe Bryant,Los Angeles Lakers,Basketball,136400000
48,Alfonso Soriano,Chicago Cubs,Baseball,136000000
49,Freddie Freeman,Atlanta Braves,Baseball,135000000
49,Matthew Stafford,Detroit Lions,American football,135000000
50,Justin Upton,Detroit Tigers,Baseball,132750000
51,Calvin Johnson,Detroit Lions,American football,132000000
52,Shin-Soo Choo,Texas Rangers,Baseball,130000000
52,Michael Vick,Atlanta Falcons,American football,130000000
52,Johnny Cueto,San Francisco Giants,Baseball,130000000
55,Anthony Davis,New Orleans Pelicans,Basketball,127171313
55,Andre Drummond,Detroit Pistons,Basketball,127171313
55,Bradley Beal,Washington Wizards,Basketball,127171313
58,Jay Cutler,Chicago Bears,American football,126700000
59,Jermaine O'Neal,Indiana Pacers,Basketball,126558000
60,Kevin Garnett,Minnesota Timberwolves,Basketball,126000000
60,Rashard Lewis,Orlando Magic,Basketball,126000000
60,Vernon Wells,Toronto Blue Jays,Baseball,126000000
60,Barry Zito,San Francisco Giants,Baseball,126000000
60,Jayson Werth,Washington Nationals,Baseball,126000000
60,Colin Kaepernick,San Francisco 49ers,American football,126000000
60,Jrue Holiday,New Orleans Pelicans,Basketball,126000000
67,Ryan Howard,Philadelphia Phillies,Baseball,125000000
67,Josh Hamilton,Los Angeles Angels,Baseball,125000000
67,Derek Carr,Oakland Raiders,American football,125000000
70,Carmelo Anthony,New York Knicks,Basketball,124064280
71,Michael Schumacher,Ferrari,Auto racing,124000000
71,Alexander Ovechkin,Washington Capitals,Hockey,124000000
73,Joe Johnson,Atlanta Hawks,Basketball,123658089
74,Chris Webber,Sacramento Kings,Basketball,122718750
75,Tim Duncan,San Antonio Spurs,Basketball,122007704
76,Mike Hampton,Colorado Rockies,Baseball,121000000
77,Joe Flacco,Baltimore Ravens,American football,120600000
78,Jason Giambi,New York Yankees,Baseball,120000000
78,Elvis Andrus,Texas Rangers,Baseball,120000000
78,Cliff Lee,Philadelphia Phillies,Baseball,120000000
78,Shaquille O'Neal,Los Angeles Lakers,Basketball,120000000
78,Matt Holliday,St. Louis Cardinals,Baseball,120000000
78,Larry Fitzgerald,Arizona Cardinals,American football,120000000
78,Nicolas Batum,Charlotte Hornets,Basketball,120000000
85,Carson Palmer,Cincinnati Bengals,American football,119750000
86,Carlos Beltrán,New York Mets,Baseball,119000000
87,James Harden,Houston Rockets,Basketball,118103446
88,Chris Bosh,Miami Heat,Basketball,118000000
89,"Ken Griffey, Jr.",Cincinnati Reds,Baseball,116500000
90,Donovan McNabb,Philadelphia Eagles,American football,115000000
90,Andy Dalton,Cincinnati Bengals,American football,115000000
92,Von Miller,Denver Broncos,American football,114500000
93,Ndamukong Suh,Miami Dolphins,American football,114000000
94,Al Horford,Boston Celtics,Basketball,113326228
95,Kevin Love,Cleveland Cavaliers,Basketball,113211750
95,Marc Gasol,Memphis Grizzlies,Basketball,113211750
97,Matt Cain,San Francisco Giants,Baseball,112500000
98,Gilbert Arenas,Washington Wizards,Basketball,111000000
99,Shea Weber,Nashville Predators,Hockey,110000000
99,Aaron Rodgers,Green Bay Packers,American football,110000000
99,Jordan Zimmermann,Detroit Tigers,Baseball,110000000
99,Yoenis Cespedes,New York Mets,Baseball,110000000
99,Sebastian Vettel,Ferrari,Auto racing,110000000
104,LeBron James,Miami Heat,Basketball,109837500
104,Chris Bosh,Miami Heat,Basketball,109837500
106,Tony Romo,Dallas Cowboys,American football,108000000
107,Chris Paul,Los Angeles Clippers,Basketball,107343478
108,Dwyane Wade,Miami Heat,Basketball,107186000
109,Shawn Kemp,Cleveland Cavaliers,Basketball,107000000
110,C.J. McCollum,Portland Trail Blazers,Basketball,106663450
112,José Reyes,Miami Marlins,Baseball,106000000
113,Juwan Howard,Washington Bullets,Basketball,105375000
114,Homer Bailey,Cincinnati Reds,Baseball,105000000
114,Ryan Braun,Milwaukee Brewers,Baseball,105000000
114,Alonzo Mourning,Miami Heat,Basketball,105000000
118,Sidney Crosby,Pittsburgh Penguins,Hockey,104400000
119,Wayne Rooney,Manchester United,Association football,104000000
120,Cam Newton,Carolina Panthers,American football,103800000
121,Matt Ryan,Atlanta Falcons,American football,103750000
122,Jason Kidd,New Jersey Nets,Basketball,103572000
123,Drew Bledsoe,New England Patriots,American football,103000000
124,Fletcher Cox,Philadelphia Eagles,American football,102600000
125,Michael Finley,Dallas Mavericks,Basketball,102265625
126,Ben Roethlisberger,Pittsburgh Steelers,American football,102000000
126,Cristiano Ronaldo,Real Madrid C.F.,Association football,102000000
